agent,failure_rate,mean_reward,mean_throughput,mean_fairness,mean_completed
DQN,0.0,206.75353142309933,0.6746000000000001,0.9026313632726669,337.3
PPO,0.0,37.665475845783945,0.5586,0.4581817343831062,279.3
RoundRobin,0.0,193.30622174300254,0.6552,0.9884197592735291,327.6
Greedy,0.0,232.173293967247,0.6798,0.9838665217161179,339.9
Random,0.0,154.17206219945103,0.631,0.9870150327682495,315.5
DQN,0.005,194.97520285941954,0.6524,0.906443202495575,326.2
PPO,0.005,-99.38379284436117,0.4465,0.4367151319980621,223.25
RoundRobin,0.005,170.46576661692328,0.6285000000000001,0.9390101045370102,314.25
Greedy,0.005,221.74533005651878,0.6626000000000001,0.9416327834129333,331.3
Random,0.005,121.13526475862679,0.5942000000000001,0.935927563905716,297.1
DQN,0.01,145.33909936089304,0.6140999999999999,0.8868423819541931,307.05
PPO,0.01,-246.9027121545534,0.32849999999999996,0.4378814369440079,164.25
RoundRobin,0.01,111.0194412467716,0.5852,0.9003161281347275,292.6
Greedy,0.01,170.97069501421208,0.6275999999999999,0.9185233116149902,313.8
Random,0.01,69.89792246566135,0.5577000000000001,0.9003227621316909,278.85
DQN,0.02,67.3324764238332,0.541,0.9044086128473282,270.5
PPO,0.02,-324.37862488982915,0.2485,0.4442435637116432,124.25
RoundRobin,0.02,37.73747212880823,0.5171,0.896948155760765,258.55
Greedy,0.02,88.53488374614747,0.5529,0.9086355626583099,276.45
Random,0.02,4.590813883588777,0.4955,0.8994242072105407,247.75
DQN,0.05,-187.55789302076903,0.3177,0.8804208606481552,158.85
PPO,0.05,-472.180962282576,0.09680000000000001,0.3645038269460201,48.4
RoundRobin,0.05,-204.14292592564544,0.3043,0.883530604839325,152.15
Greedy,0.05,-178.33070939049867,0.3224,0.8835841983556747,161.2
Random,0.05,-222.33168384081742,0.2926,0.8713468700647354,146.3
