agent,episode,total_reward,tasks_completed,tasks_rejected,throughput,avg_latency,fairness,active_nodes_final
DQN,0,212.76445747446022,334,1,0.668,0.0028083333333333337,0.9491671323776245,5
DQN,1,180.70668865976728,325,17,0.65,0.003108527131782946,0.9044457077980042,3
DQN,2,212.7097564880251,340,5,0.68,0.0033000000000000004,0.9833129048347473,1
DQN,3,206.5947792520523,331,9,0.662,0.0037124999999999997,0.9423056840896606,5
DQN,4,200.77933455699682,330,10,0.66,0.0035948275862068965,0.9603171348571777,2
DQN,5,199.8544177271823,323,7,0.646,0.0034222222222222228,0.9321833252906799,5
DQN,6,169.45874499054747,322,28,0.644,0.0031714975845410632,0.8481256365776062,4
DQN,7,189.52636404870938,321,15,0.642,0.002484848484848485,0.9080291390419006,4
DQN,8,185.24569627965485,311,14,0.622,0.002713178294573644,0.8564858436584473,3
DQN,9,205.84839290605976,335,10,0.67,0.0028024691358024692,0.8441472053527832,4
DQN,10,175.3624348334769,314,20,0.628,0.002944444444444445,0.9147741198539734,2
DQN,11,214.18084866701557,344,7,0.688,0.003557823129251701,0.828059732913971,2
DQN,12,190.23219124979772,324,16,0.648,0.0030641025641025645,0.9673402309417725,4
DQN,13,203.5142680273353,325,6,0.65,0.002888888888888889,0.9200629591941833,5
DQN,14,222.01735962131616,350,1,0.7,0.00464,0.9711557626724243,4
DQN,15,179.9371975510319,309,14,0.618,0.00268939393939394,0.8916646242141724,3
DQN,16,216.29497612717748,332,1,0.664,0.0026000000000000003,0.9027453064918518,4
DQN,17,179.27145082167772,319,23,0.638,0.0032204301075268818,0.8867984414100647,3
DQN,18,206.13534787181015,335,7,0.67,0.0032173913043478265,0.9302873015403748,4
DQN,19,149.06935003429646,300,35,0.6,0.0033846153846153852,0.7874558568000793,2
DQN,20,174.62981920920808,319,22,0.638,0.003019607843137256,0.9028251767158508,4
DQN,21,201.96651718378067,340,13,0.68,0.0022222222222222227,0.9906820058822632,5
DQN,22,179.33980204399424,335,29,0.67,0.003522222222222222,0.8052260279655457,3
DQN,23,177.8288936324517,318,20,0.636,0.0033070175438596494,0.9178751111030579,3
DQN,24,211.44254594146201,335,6,0.67,0.0029969135802469147,0.9087479114532471,4
DQN,25,195.49967751016212,318,3,0.636,0.0032341269841269843,0.8543769121170044,5
DQN,26,188.3286293684939,330,19,0.66,0.003060897435897436,0.9547349810600281,4
DQN,27,208.87269101729993,337,7,0.674,0.002444444444444445,0.9228438138961792,5
DQN,28,181.33305069820082,317,16,0.634,0.0034583333333333337,0.9550262093544006,4
DQN,29,179.87402564494806,324,17,0.648,0.0031006289308176107,0.9661367535591125,4
DQN,30,208.01574096543192,337,8,0.674,0.004200000000000001,0.9570165276527405,4
DQN,31,203.35603655575113,331,7,0.662,0.004787050960735172,0.9519945383071899,5
DQN,32,208.72848753644024,344,11,0.688,0.0031047619047619044,0.8976099491119385,4
DQN,33,181.29937595286958,334,24,0.668,0.0033000000000000004,0.8878297805786133,2
DQN,34,204.68282504855594,343,10,0.686,0.002713930348258707,0.9495914578437805,4
DQN,35,214.39698690383617,339,7,0.678,0.0025802469135802475,0.951201856136322,3
DQN,36,203.7818548758626,334,13,0.668,0.003147058823529412,0.9626283049583435,5
DQN,37,195.6396382136742,327,14,0.654,0.0034513888888888893,0.9848672151565552,5
DQN,38,194.30518211596188,335,12,0.67,0.00379047619047619,0.954460859298706,4
DQN,39,166.29905502161384,308,26,0.616,0.003396103896103896,0.93828284740448,4
DQN,40,210.6818216758369,345,7,0.69,0.003279069767441861,0.9384450912475586,4
DQN,41,193.3578891456623,315,10,0.63,0.0027304964539007098,0.940484881401062,4
DQN,42,195.54697900794937,330,10,0.66,0.002746794871794872,0.9698244333267212,3
DQN,43,201.9439793464442,338,8,0.676,0.0030512820512820513,0.9579346776008606,4
DQN,44,181.96597433762753,320,18,0.64,0.0034714912280701758,0.946088433265686,3
DQN,45,166.18170303102926,321,27,0.642,0.003462222222222223,0.9616223573684692,1
DQN,46,190.40240111495055,325,13,0.65,0.003521505376344087,0.7791705131530762,5
DQN,47,186.6540838892957,329,15,0.658,0.003658333333333334,0.9172943234443665,4
DQN,48,195.3831880680322,324,13,0.648,0.0023157894736842107,0.9341158270835876,4
DQN,49,196.95510471621145,338,10,0.676,0.003585106382978724,0.9081026911735535,3
PPO,0,-90.64232610401511,226,113,0.452,0.002428571428571429,0.49399900436401367,5
PPO,1,-64.65203284390768,241,105,0.482,0.0033194444444444443,0.38978123664855957,3
PPO,2,-85.89638916260996,236,114,0.472,0.0033888888888888888,0.5507595539093018,1
PPO,3,-163.31328080439565,196,144,0.392,0.0033076923076923084,0.42357051372528076,5
PPO,4,-161.19117952812724,204,144,0.408,0.0040488505747126435,0.45784643292427063,2
PPO,5,-48.351732003198066,236,96,0.472,0.003660360360360361,0.4515796899795532,5
PPO,6,-216.71359761359292,178,172,0.356,0.0033141025641025643,0.38655978441238403,4
PPO,7,-96.06963930546246,223,116,0.446,0.0036416666666666667,0.5239953994750977,4
PPO,8,-67.96335674015681,224,104,0.448,0.0031794871794871794,0.4413319230079651,3
PPO,9,-140.62689116988582,215,134,0.43,0.0023603603603603606,0.3166622519493103,4
PPO,10,-58.01511408242582,236,100,0.472,0.002526315789473685,0.4212711751461029,2
PPO,11,-87.95399129201569,238,115,0.476,0.00419729921819474,0.5617077946662903,2
PPO,12,-79.84325824310382,233,111,0.466,0.003354166666666667,0.456161230802536,4
PPO,13,-39.10903802514076,239,92,0.478,0.0,0.4046412408351898,5
PPO,14,-4.256010240197181,273,81,0.546,0.002,0.47264403104782104,4
PPO,15,-95.25973851873478,212,113,0.424,0.0030046296296296297,0.4160400331020355,3
PPO,16,-75.61902780631185,231,105,0.462,0.0030000000000000005,0.47435417771339417,4
PPO,17,-173.58987667870122,195,154,0.39,0.004223593073593074,0.34772148728370667,3
PPO,18,-32.486114323321985,253,93,0.506,0.004271972789115646,0.4278194010257721,4
PPO,19,-206.12326240191862,176,164,0.352,0.0030701754385964917,0.31585627794265747,2
PPO,20,-181.2105902433495,190,154,0.38,0.0035052083333333333,0.4614472985267639,4
PPO,21,-111.24309052660067,230,125,0.46,0.0035694444444444445,0.5278648734092712,5
PPO,22,-217.66237620493774,196,173,0.392,0.003102564102564103,0.33100613951683044,3
PPO,23,-118.12456780240933,212,126,0.424,0.0032777777777777775,0.3831753730773926,3
PPO,24,-133.16315057946835,213,132,0.426,0.003386394557823129,0.5488739013671875,4
PPO,25,18.146657990882808,260,67,0.52,0.0038796296296296304,0.47518834471702576,5
PPO,26,-201.66500233160457,194,161,0.388,0.00368939393939394,0.35666412115097046,4
PPO,27,-8.169972270578146,264,81,0.528,0.0037209302325581397,0.43490585684776306,5
PPO,28,33.90362106187144,271,64,0.542,0.0037948717948717956,0.4165833592414856,4
PPO,29,-79.46511141986647,231,111,0.462,0.0031960784313725494,0.4849949777126312,4
PPO,30,-99.94146269661188,227,119,0.454,0.004071428571428572,0.49990782141685486,4
PPO,31,-17.537772350470227,256,85,0.512,0.0039791666666666664,0.43163570761680603,5
PPO,32,-72.60847608111304,245,111,0.49,0.0025977011494252873,0.4007572829723358,4
PPO,33,-74.56784045094251,246,114,0.492,0.002,0.4200793206691742,2
PPO,34,-136.10430144618948,221,135,0.442,0.004077160493827161,0.4391207695007324,4
PPO,35,-70.40517698982356,240,108,0.48,0.0020000000000000005,0.4309830069541931,3
PPO,36,-94.82392084325356,230,119,0.46,0.003623188405797102,0.42033809423446655,5
PPO,37,-98.19537791939578,222,121,0.444,0.0035757575757575768,0.5030562877655029,5
PPO,38,-32.82390985184908,255,93,0.51,0.004521739130434784,0.47625410556793213,4
PPO,39,-222.14182611984035,170,167,0.34,0.003400000000000001,0.5843245387077332,4
PPO,40,-103.16692801686126,231,123,0.462,0.0032824858757062145,0.45480191707611084,4
PPO,41,-39.25774904517332,235,92,0.47,0.0032777777777777783,0.40405216813087463,4
PPO,42,-87.48985224438707,231,114,0.462,0.0028518518518518524,0.44830644130706787,3
PPO,43,10.306123581697545,275,73,0.55,0.003507246376811595,0.5459493398666382,4
PPO,44,-88.22009397722881,221,119,0.442,0.003173873873873874,0.414074182510376,3
PPO,45,-132.74861303515831,215,134,0.43,0.004165777777777778,0.510450005531311,1
PPO,46,-162.5581712531308,195,146,0.39,0.004042156862745098,0.5581077337265015,5
PPO,47,-81.54835749080776,237,109,0.474,0.0028888888888888888,0.4012530744075775,4
PPO,48,-85.11743161988258,229,111,0.458,0.002333333333333334,0.43737882375717163,4
PPO,49,-109.60774698824684,229,123,0.458,0.003252873563218391,0.4968605637550354,3
RoundRobin,0,167.63402563665306,314,22,0.628,0.0031452991452991463,0.9870438575744629,5
RoundRobin,1,203.11603458001213,332,12,0.664,0.002614035087719299,0.9447392821311951,3
RoundRobin,2,166.08627923807498,319,26,0.638,0.002709302325581396,0.9618789553642273,1
RoundRobin,3,164.56964329466228,312,28,0.624,0.002875,0.9462425708770752,5
RoundRobin,4,183.68386990168688,319,20,0.638,0.002868421052631579,0.9870651960372925,2
RoundRobin,5,185.97614933055638,315,15,0.63,0.0021500000000000004,0.9674468636512756,5
RoundRobin,6,134.7138080989122,306,44,0.612,0.0033,0.8347162008285522,4
RoundRobin,7,153.47452782654761,306,31,0.612,0.003,0.9075867533683777,4
RoundRobin,8,166.6195571159919,301,24,0.602,0.002817204301075269,0.8824789524078369,3
RoundRobin,9,180.0291712455848,322,23,0.644,0.002776041666666667,0.8733474612236023,4
RoundRobin,10,167.61027252299385,309,25,0.618,0.0030322751322751323,0.9846889972686768,2
RoundRobin,11,181.2298805357118,328,23,0.656,0.003227642276422764,0.8634516596794128,2
RoundRobin,12,170.57551499047878,314,26,0.628,0.0030399999999999997,0.9765737652778625,4
RoundRobin,13,174.8347030739585,311,20,0.622,0.0026814814814814817,0.9123449325561523,5
RoundRobin,14,211.57948323372005,342,10,0.684,0.00275,0.986899733543396,4
RoundRobin,15,161.94210477098815,298,24,0.596,0.002272727272727273,0.9697502851486206,3
RoundRobin,16,186.9522628777325,318,16,0.636,0.002548387096774194,0.9518477320671082,4
RoundRobin,17,130.8254487485488,300,44,0.6,0.002645061728395062,0.9907137155532837,3
RoundRobin,18,192.13041418079922,328,15,0.656,0.0033990476190476192,0.9871756434440613,4
RoundRobin,19,125.7321811348516,291,44,0.582,0.0034938888888888893,0.8642095327377319,2
RoundRobin,20,149.874735581696,308,34,0.616,0.0027627118644067803,0.948948860168457,4
RoundRobin,21,156.5905535264611,321,32,0.642,0.0023103448275862077,0.9739500284194946,5
RoundRobin,22,119.18236535404333,310,53,0.62,0.003621052631578947,0.8651334047317505,3
RoundRobin,23,158.9799562475383,308,31,0.616,0.002628571428571429,0.9479081630706787,3
RoundRobin,24,176.45263670162748,319,22,0.638,0.0033349726775956288,0.9921117424964905,4
RoundRobin,25,189.42989778585223,311,10,0.622,0.0032878787878787884,0.9858696460723877,5
RoundRobin,26,137.34173192859686,309,40,0.618,0.003152380952380953,0.9421356320381165,4
RoundRobin,27,171.88624122151725,321,23,0.642,0.0023555555555555556,0.9616072177886963,5
RoundRobin,28,161.18047292207675,308,26,0.616,0.0032657657657657662,0.970793604850769,4
RoundRobin,29,171.58440995652472,317,25,0.634,0.00291156462585034,0.943715512752533,4
RoundRobin,30,166.8572967121601,319,26,0.638,0.0031000000000000003,0.9883512854576111,4
RoundRobin,31,184.74507953577233,320,18,0.64,0.0029035087719298256,0.9856303334236145,5
RoundRobin,32,160.62064456035688,323,32,0.646,0.0029166666666666664,0.89034503698349,4
RoundRobin,33,116.23144543909031,304,52,0.608,0.0032648809523809527,0.9312977194786072,2
RoundRobin,34,191.3670174376169,333,19,0.666,0.0036442786069651747,0.994891881942749,4
RoundRobin,35,177.35976641303085,324,23,0.648,0.0037524822695035463,0.954893946647644,3
RoundRobin,36,165.58266908761854,318,29,0.636,0.002521739130434783,0.9433351755142212,5
RoundRobin,37,165.10799000076452,313,28,0.626,0.0037433333333333333,0.9673725366592407,5
RoundRobin,38,171.88466167609877,323,25,0.646,0.00280952380952381,0.9419978260993958,4
RoundRobin,39,140.98704029364382,296,38,0.592,0.002478494623655914,0.943306565284729,4
RoundRobin,40,189.00712962572766,333,19,0.666,0.0024621212121212124,0.9521359205245972,4
RoundRobin,41,170.95093227950733,303,22,0.606,0.0028067632850241548,0.961107611656189,4
